gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,1,1,0,50,1,1,88.05,4367.35,1,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0,0,0,50,1,0,19.75,989.05,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False
0,0,1,0,50,1,1,109.65,5405.8,0,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False
0,0,1,1,50,1,1,44.8,2230.85,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,0,1,0,50,1,1,98.25,4858.7,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False
0,0,0,0,51,1,0,20.65,1020.75,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0,0,1,0,51,1,1,83.25,4089.45,0,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
0,0,1,1,51,1,0,110.05,5686.4,0,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,True,False,False
0,0,1,0,51,1,1,75.2,3901.25,0,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False
0,0,0,0,51,1,1,94.8,4837.6,1,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False
0,0,1,1,51,1,1,23.95,1216.35,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,1,1,1,51,1,1,84.2,4146.05,1,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
